관측소명:대한해협
위도:34.919
경도:129.12125
관측시간	표층유속(cm/s)	표층유향(16points)	표층유향(deg)	수온(℃)	유의파고(MOSE.HF)(m)	유의파주기(MOSE.HF)(sec)	최대파고(MOSE.HF)(m)	최대파주기(MOSE.HF)(sec)	파향(16points)	파향(deg)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	
2024/07/01 07:00:00	69.4	북동	55	20.18	1.42	7.0	1.97	8.5	남서	216.00	4.1	남서	225	20.5	1004.6	
2024/07/01 07:30:00	71.3	북동	54	20.29	1.30	6.7	1.99	7.0	남서	217.00	4.9	남서	216	20.4	1004.8	
2024/07/01 08:00:00	52.3	북동	38	20.42	1.29	6.6	2.64	7.5	남서	217.00	4.4	남서	216	20.4	1004.9	
2024/07/01 08:30:00	67.1	북동	52	20.51	1.20	6.6	1.88	6.5	남서	221.00	5.2	남서	220	20.4	1005.1	
2024/07/01 09:00:00	68.6	북동	47	20.58	1.21	6.4	2.60	7.5	남남서	212.00	5.3	남남서	211	20.4	1005.0	
2024/07/01 09:30:00	47.3	북동	53	20.54	1.29	7.0	2.23	7.5	남서	216.00	3.9	남남서	213	20.4	1004.8	
2024/07/01 10:00:00	20.9	북동	41	20.63	1.15	6.7	1.81	6.5	남남서	206.00	5.4	남남서	208	20.4	1005.0	
2024/07/01 10:30:00	32.1	북동	43	20.74	1.08	6.3	1.83	7.5	남남서	200.00	5.7	남남서	211	20.6	1005.3	
2024/07/01 11:00:00	23.8	북동	41	20.67	1.10	6.4	1.83	6.0	남남서	212.00	5.7	남남서	212	20.7	1005.5	
2024/07/01 11:30:00	14.2	북북서	341	20.80	1.00	6.4	1.62	6.5	남서	215.00	5.6	남서	215	20.8	1005.5	
2024/07/01 12:00:00	12.0	북북동	12	20.79	0.98	6.8	1.50	5.5	남남서	198.00	5.9	남서	214	20.8	1005.4	
2024/07/01 12:30:00	7.8	북북서	346	20.81	0.93	6.8	1.46	7.0	남남서	211.00	4.9	남서	216	20.9	1005.0	
2024/07/01 13:00:00	11.4	동	81	20.93	0.88	6.6	1.34	8.0	남서	218.00	5.6	남남서	208	21.2	1004.8	
2024/07/01 13:30:00	13.4	동북동	72	20.90	0.86	6.7	1.36	7.0	남서	218.00	5.9	남남서	206	21.3	1004.8	
2024/07/01 14:00:00	13.2	동	83	20.87	0.92	7.1	1.46	6.0	남남서	197.00	6.2	남남서	210	21.3	1005.0	
2024/07/01 14:30:00	14.5	동북동	63	20.94	0.85	6.7	1.52	7.0	남남서	213.00	6.1	남남서	207	21.3	1004.9	
2024/07/01 15:00:00	20.3	동	83	21.04	0.87	6.3	1.48	8.5	남남서	212.00	6.2	남남서	204	21.3	1004.7	
2024/07/01 15:30:00	19.4	동북동	70	21.02	0.82	6.1	1.80	7.0	남남서	199.00	7.0	남남서	199	21.5	1004.3	
2024/07/01 16:00:00	20.9	북동	52	20.98	0.87	6.0	1.39	6.5	남남서	194.00	7.2	남남서	204	21.4	1004.2	
2024/07/01 16:30:00	32.3	동북동	73	20.93	0.97	6.4	1.66	6.0	남서	217.00	8.0	남남서	208	21.3	1004.2	
2024/07/01 17:00:00	37.4	북동	51	20.87	1.01	5.7	1.38	4.5	남남서	195.00	7.4	남서	216	21.2	1004.4	
2024/07/01 17:30:00	33.1	동북동	64	20.82	1.04	5.7	2.12	7.0	남남서	209.00	7.9	남서	217	21.2	1004.7	
2024/07/01 18:00:00	35.8	동북동	60	20.80	1.02	5.3	1.39	6.5	남남서	199.00	7.1	남남서	210	21.0	1004.9	
2024/07/01 18:30:00	51.5	동북동	64	20.82	0.95	5.3	1.61	6.5	남남서	208.00	6.8	남남서	209	21.0	1005.1	
2024/07/01 19:00:00	58.7	동북동	57	20.79	0.93	5.4	1.54	7.0	남남서	205.00	6.9	남남서	202	20.9	1005.6	
2024/07/01 19:30:00	59.9	동북동	58	20.71	0.88	5.4	1.49	6.5	남남서	204.00	7.2	남남서	204	20.9	1006.0	
2024/07/01 20:00:00	70.6	북동	56	20.79	0.94	5.9	1.74	7.0	남남서	212.00	7.2	남남서	208	21.0	1006.5	
2024/07/01 20:30:00	66.1	북동	51	20.66	0.92	6.3	1.36	5.5	남남서	207.00	6.7	남남서	209	21.2	1006.6	
2024/07/01 21:00:00	61.9	북동	51	20.69	0.97	5.9	1.63	6.0	남서	215.00	6.6	남남서	208	21.0	1006.9	
2024/07/01 21:30:00	65.4	동북동	63	20.63	0.94	6.2	1.45	7.0	남남서	206.00	5.9	남남서	208	21.0	1007.2	
2024/07/01 22:00:00	62.1	북동	54	20.63	0.97	6.4	1.64	6.0	남남서	197.00	5.7	남남서	206	20.9	1007.5	
2024/07/01 22:30:00	48.4	북동	45	20.57	1.00	6.8	2.03	7.0	남남서	207.00	4.9	남남서	204	20.8	1007.8	
2024/07/01 23:00:00	49.5	북동	53	20.64	1.03	6.7	1.82	6.5	남남서	209.00	4.8	남남서	200	20.9	1007.9	
2024/07/01 23:30:00	52.0	북동	42	20.68	0.95	6.8	1.56	6.5	남남서	194.00	4.8	남남서	203	21.0	1007.9	
2024/07/02 00:00:00	50.1	북동	35	20.80	1.03	6.8	1.77	7.5	남서	215.00	5.4	남남서	208	21.1	1008.0	
2024/07/02 00:30:00	40.5	북북동	28	20.89	0.99	7.2	1.70	7.0	남서	221.00	4.6	남남서	198	21.2	1007.8	
2024/07/02 01:00:00	44.7	북북동	31	20.95	1.00	7.3	1.51	8.0	남남서	208.00	4.0	남남서	196	21.2	1007.6	
2024/07/02 01:30:00	30.3	북북동	30	20.91	1.04	7.1	1.79	7.0	남남서	212.00	4.9	남남서	196	21.3	1007.7	
2024/07/02 02:00:00	36.9	북동	39	20.90	0.93	7.0	1.39	7.5	남남서	197.00	3.2	남	181	21.1	1007.6	
2024/07/02 02:30:00	42.2	북동	37	20.94	0.99	7.2	1.45	8.0	남남서	201.00	3.0	남	171	21.2	1007.4	
2024/07/02 03:00:00	38.5	북동	39	20.91	0.96	7.5	1.41	6.5	남남서	213.00	2.7	남남동	163	21.2	1007.3	
2024/07/02 03:30:00	35.1	북동	39	20.93	0.89	6.8	1.50	6.5	남	191.00	3.3	남	173	21.5	1007.4	
2024/07/02 04:00:00	26.0	북북동	19	20.96	0.93	7.0	1.55	6.5	남남서	197.00	2.7	남남동	163	21.5	1007.4	
2024/07/02 04:30:00	31.8	북북동	13	20.94	0.88	6.8	1.73	6.0	남남서	205.00	1.8	남동	133	21.7	1007.3	
2024/07/02 05:00:00	46.1	북동	43	20.95	0.87	6.9	1.36	7.5	남서	218.00	2.1	동남동	123	21.6	1007.4	
2024/07/02 05:30:00	42.3	북동	41	20.91	0.82	6.3	1.31	6.5	남	182.00	2.7	남동	139	21.7	1007.5	
2024/07/02 06:00:00	55.6	북동	53	20.87	0.84	6.6	1.27	4.0	남남서	208.00	3.6	남남동	152	22.1	1007.7	
2024/07/02 06:30:00	57.4	북동	48	20.88	0.82	6.7	1.15	7.0	남남서	205.00	4.0	남남동	150	22.5	1007.7	
2024/07/02 07:00:00	65.3	북동	43	20.94	0.74	6.3	1.40	6.0	남남서	210.00	4.1	남남동	167	22.2	1007.8	
2024/07/02 07:30:00	64.8	북동	49	20.96	0.75	6.5	1.06	6.5	남남서	197.00	5.0	남	184	22.4	1007.9	
2024/07/02 08:00:00	73.3	북동	55	20.90	0.77	6.1	1.37	6.0	남남서	202.00	4.9	남	189	22.4	1008.2	
2024/07/02 08:30:00	89.6	북동	54	20.85	0.79	5.4	1.22	6.5	남	190.00	5.9	남	185	22.4	1008.3	
2024/07/02 09:00:00	88.2	북동	46	20.89	0.78	5.2	1.13	6.5	남남서	195.00	6.8	남	186	22.5	1008.2	
2024/07/02 09:30:00	89.0	북동	43	20.98	0.78	5.5	1.43	6.5	남남서	203.00	6.3	남	189	22.4	1008.4	
2024/07/02 10:00:00	85.4	북동	41	21.03	0.78	5.5	1.17	5.5	남남서	195.00	6.2	남남서	193	22.4	1008.5	
2024/07/02 10:30:00	82.2	북동	47	20.97	0.74	5.5	1.21	7.5	남남서	203.00	5.4	남남서	199	22.3	1008.7	
2024/07/02 11:00:00	52.5	북동	39	20.99	0.74	5.3	1.27	7.5	남남서	196.00	5.0	남남서	199	22.3	1008.8	
2024/07/02 11:30:00	68.7	동북동	57	21.01	0.81	5.4	1.23	4.5	남남서	207.00	4.6	남남서	203	22.2	1008.9	
2024/07/02 12:00:00	56.7	북동	47	21.12	0.81	5.5	1.31	7.0	남남서	203.00	2.6	서남서	254	22.0	1008.8	
2024/07/02 12:30:00	45.5	북동	35	21.11	0.75	5.9	1.24	7.0	남서	223.00	2.5	남서	230	21.9	1008.7	
2024/07/02 13:00:00	43.1	북동	45	21.14	0.77	6.0	1.19	8.0	남남서	208.00	4.7	남남서	209	22.0	1008.5	
2024/07/02 13:30:00	44.7	북동	52	21.21	0.80	6.7	1.32	6.5	남서	214.00	5.9	남남서	208	22.4	1008.6	
2024/07/02 14:00:00	35.3	북동	42	21.20	0.74	6.3	1.16	7.0	남남서	207.00	6.0	남남서	201	22.4	1008.6	
2024/07/02 14:30:00	29.0	북동	50	21.17	0.77	6.0	1.18	7.5	남남서	203.00	6.3	남남서	208	22.5	1008.6	
2024/07/02 15:00:00	27.1	북동	55	21.19	0.84	5.6	1.38	7.0	남남서	202.00	5.3	남남서	213	22.5	1008.6	
2024/07/02 15:30:00	28.3	동북동	65	21.15	0.92	5.4	1.52	5.5	남서	214.00	7.0	남남서	192	22.6	1008.5	
2024/07/02 16:00:00	32.4	동북동	68	21.14	0.94	5.3	1.63	8.0	남남서	209.00	7.2	남	191	22.8	1008.5	
2024/07/02 16:30:00	37.6	북동	55	21.15	0.97	5.1	1.72	4.5	남남서	211.00	7.9	남남서	193	22.9	1008.6	
2024/07/02 17:00:00	41.8	동북동	64	21.20	1.08	5.1	1.61	7.0	남남서	197.00	7.7	남	191	22.9	1008.5	
2024/07/02 17:30:00	47.3	동북동	66	21.19	1.09	5.7	1.69	4.5	남남서	199.00	7.7	남	188	22.9	1008.3	
2024/07/02 18:00:00	50.7	동북동	59	21.16	1.05	5.6	2.01	7.0	남남서	208.00	7.4	남	189	23.0	1008.4	
2024/07/02 18:30:00	59.7	동북동	60	21.15	0.99	5.2	1.58	6.0	남남서	208.00	7.2	남	185	22.9	1008.5	
2024/07/02 19:00:00	57.3	북동	51	21.09	1.07	5.2	1.69	5.0	남남서	207.00	6.3	남남서	192	22.9	1008.8	
2024/07/02 19:30:00	69.4	동북동	67	21.03	1.04	5.1	1.56	6.5	남남서	202.00	7.4	남남서	197	23.0	1009.1	
2024/07/02 20:00:00	72.7	동북동	57	21.00	1.15	5.3	2.05	5.0	남남서	203.00	7.2	남남서	197	23.0	1009.4	
2024/07/02 20:30:00	68.2	동북동	60	20.97	1.11	5.3	1.73	4.5	남남서	209.00	7.2	남남서	194	23.0	1009.8	
2024/07/02 21:00:00	73.4	동북동	59	21.06	1.10	5.5	1.85	5.5	남남서	211.00	7.6	남남서	195	22.9	1010.0	
2024/07/02 21:30:00	81.1	북동	55	21.07	1.16	5.3	1.91	5.0	남남서	206.00	7.6	남남서	198	22.8	1010.5	
2024/07/02 22:00:00	80.7	동북동	57	20.95	1.26	5.4	2.06	4.5	남남서	209.00	8.9	남남서	192	23.0	1010.6	
2024/07/02 22:30:00	69.5	동북동	62	20.91	1.29	5.1	2.12	4.5	남남서	208.00	8.3	남남서	192	22.9	1010.7	
2024/07/02 23:00:00	75.3	동북동	60	20.78	1.28	5.1	1.84	6.0	남서	219.00	7.7	남남서	194	22.8	1010.7	
2024/07/02 23:30:00	72.9	동북동	60	20.73	1.16	5.0	1.69	5.5	남남서	198.00	8.4	남남서	192	23.0	1010.6	
2024/07/03 00:00:00	80.0	동북동	59	20.67	1.22	5.1	1.96	4.0	남남서	207.00	9.9	남	189	23.3	1010.5	
2024/07/03 00:30:00	75.8	북동	55	20.55	1.31	5.2	2.40	5.0	남서	227.00	10.3	남남서	193	23.2	1010.5	
2024/07/03 01:00:00	69.2	북동	49	20.40	1.31	5.1	2.03	4.0	남남서	199.00	9.7	남남서	192	23.2	1010.2	
2024/07/03 01:30:00	63.6	북동	41	20.35	1.38	5.0	2.03	6.5	남남서	209.00	9.9	남	191	23.0	1009.9	
2024/07/03 02:00:00	65.7	북동	35	20.26	1.31	5.4	1.98	4.5	남남서	204.00	10.4	남남서	192	23.2	1009.6	
2024/07/03 02:30:00	61.4	북동	45	20.12	1.44	5.0	2.50	6.0	남서	218.00	11.5	남남서	193	23.3	1009.6	
2024/07/03 03:00:00	63.1	북동	43	19.94	1.61	5.1	2.75	4.5	남남서	203.00	11.7	남남서	196	23.3	1009.7	
2024/07/03 03:30:00	73.7	북동	47	19.71	1.37	5.1	2.16	4.5	남남서	208.00	11.1	남남서	196	23.2	1009.9	
2024/07/03 04:00:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/07/03 04:30:00	74.3	동북동	63	19.56	1.46	5.0	2.32	4.5	남남서	192.00	11.1	남남서	199	23.0	1010.2	
2024/07/03 05:00:00	83.9	동북동	61	19.65	1.58	5.5	3.01	6.0	남남서	201.00	10.2	남남서	197	22.7	1010.0	
2024/07/03 05:30:00	84.9	동북동	62	19.90	1.49	5.2	2.67	5.0	남남서	206.00	10.8	남남서	194	22.7	1010.1	
2024/07/03 06:00:00	97.2	동북동	63	19.97	1.53	5.3	2.56	5.5	남남서	212.00	12.0	남남서	196	22.8	1010.3	
2024/07/03 06:30:00	94.8	동북동	64	20.15	1.63	5.4	2.55	5.5	남남서	193.00	11.5	남남서	196	22.7	1010.3	
2024/07/03 07:00:00	103.3	동북동	65	20.19	1.71	5.2	2.87	6.5	남남서	192.00	12.2	남남서	195	22.7	1010.2	
2024/07/03 07:30:00	102.6	동북동	66	20.11	1.73	5.2	3.10	5.0	남남서	207.00	11.8	남남서	198	22.9	1010.7	
2024/07/03 08:00:00	104.5	동북동	65	20.11	1.86	5.6	2.76	5.0	남남서	204.00	11.0	남남서	196	22.8	1011.1	
2024/07/03 08:30:00	93.4	동북동	64	20.05	1.71	5.2	3.20	5.5	남남서	200.00	10.4	남남서	195	22.7	1011.5	
2024/07/03 09:00:00	91.3	동북동	67	19.95	1.80	5.7	3.13	5.5	남남서	192.00	9.9	남남서	199	22.5	1011.7	
2024/07/03 09:30:00	81.8	동북동	65	19.85	1.82	5.7	3.25	6.0	남남서	203.00	9.3	남남서	205	22.4	1011.8	
2024/07/03 10:00:00	81.8	동북동	60	19.92	1.76	5.4	2.51	5.0	남남서	198.00	9.2	남남서	209	22.3	1012.0	
2024/07/03 10:30:00	90.6	동북동	69	19.97	1.66	5.4	2.60	5.0	남남서	206.00	8.7	남남서	212	22.3	1012.2	
2024/07/03 11:00:00	82.7	동북동	66	20.06	1.54	5.6	2.64	7.0	남남서	202.00	7.5	남서	218	21.8	1012.3	
2024/07/03 11:30:00	77.6	동북동	67	20.10	1.56	6.0	2.07	7.0	남남서	194.00	6.4	남서	231	21.3	1012.3	
2024/07/03 12:00:00	64.7	동북동	75	20.21	1.59	5.8	2.69	6.0	남남서	193.00	6.6	남서	231	20.9	1012.2	
2024/07/03 12:30:00	60.9	동북동	74	20.28	1.42	6.4	2.72	7.5	남남서	204.00	7.8	남서	222	21.3	1012.0	
2024/07/03 13:00:00	49.3	동북동	62	20.37	1.60	6.5	2.85	7.0	남남서	197.00	8.4	남서	215	21.4	1011.9	
2024/07/03 13:30:00	41.1	동북동	69	20.48	1.47	6.1	2.57	6.0	남남서	205.00	7.8	남남서	213	21.5	1011.8	
2024/07/03 14:00:00	37.1	동북동	66	20.61	1.43	6.7	2.46	6.5	남남서	213.00	8.1	남남서	212	21.7	1011.6	
2024/07/03 14:30:00	29.1	동북동	75	20.66	1.43	6.8	2.55	7.0	남남서	206.00	8.4	남남서	209	21.7	1011.4	
2024/07/03 15:00:00	23.0	동북동	69	20.69	1.37	6.5	2.33	7.0	남남서	211.00	8.7	남남서	208	21.8	1011.2	
2024/07/03 15:30:00	28.5	동북동	67	20.84	1.29	6.6	2.23	7.0	남남서	206.00	9.0	남남서	210	21.9	1011.1	
2024/07/03 16:00:00	26.3	동북동	69	20.83	1.35	6.5	2.25	6.5	남남서	206.00	7.9	남남서	211	22.1	1011.0	
2024/07/03 16:30:00	28.8	동	79	20.82	1.40	6.7	2.09	7.5	남서	214.00	6.3	남서	214	21.9	1011.0	
2024/07/03 17:00:00	26.0	동북동	71	20.80	1.35	6.6	2.14	7.5	남남서	207.00	7.3	남서	215	21.8	1011.0	
2024/07/03 17:30:00	34.5	동북동	73	20.71	1.39	6.6	2.21	7.5	남남서	209.00	8.5	남남서	210	21.9	1010.9	
2024/07/03 18:00:00	35.2	동북동	67	20.64	1.42	6.6	2.29	7.0	남남서	211.00	8.8	남남서	209	21.9	1010.7	
2024/07/03 18:30:00	42.6	동북동	78	20.47	1.32	6.4	2.03	7.0	남남서	213.00	8.7	남남서	211	21.9	1010.7	
2024/07/03 19:00:00	58.4	동	81	20.51	1.31	6.4	1.92	6.5	남남서	207.00	7.8	남서	214	21.8	1010.9	
2024/07/03 19:30:00	68.6	동	82	20.50	1.33	6.5	2.16	6.5	남남서	209.00	6.4	남서	216	21.6	1011.3	
2024/07/03 20:00:00	71.1	동	85	20.44	1.39	6.2	2.21	6.0	남서	215.00	6.9	남남서	210	21.5	1011.5	
2024/07/03 20:30:00	82.0	동북동	75	20.46	1.39	6.2	2.20	7.5	남남서	212.00	6.5	남서	222	21.3	1011.9	
2024/07/03 21:00:00	86.4	동	80	20.50	1.30	5.8	2.07	6.0	남남서	209.00	6.9	남서	218	21.2	1012.4	
2024/07/03 21:30:00	85.9	동북동	72	20.46	1.24	5.9	1.85	5.0	남남서	207.00	8.4	남남서	209	21.4	1012.5	
2024/07/03 22:00:00	92.8	동북동	72	20.31	1.22	5.4	1.95	7.0	남남서	206.00	6.4	남서	220	21.5	1012.8	
2024/07/03 22:30:00	97.9	동북동	66	20.51	1.21	5.8	2.32	6.0	남서	222.00	5.7	남서	226	21.5	1012.8	
2024/07/03 23:00:00	95.2	동북동	61	20.56	1.15	5.7	1.79	6.5	남남서	212.00	6.0	남서	217	21.3	1012.7	
2024/07/03 23:30:00	95.4	동북동	64	20.54	1.14	5.8	1.76	6.0	남남서	208.00	6.3	남남서	211	21.2	1012.6	
2024/07/04 00:00:00	97.4	동북동	65	20.44	1.17	5.8	1.76	6.5	남남서	211.00	7.1	남남서	211	21.2	1012.6	
2024/07/04 00:30:00	90.4	동북동	68	20.30	1.09	5.7	1.72	5.0	남서	216.00	8.0	남남서	208	21.1	1012.3	
2024/07/04 01:00:00	88.2	동북동	68	20.10	1.06	5.6	1.66	6.0	남서	221.00	8.5	남남서	209	21.2	1012.1	
2024/07/04 01:30:00	89.0	동북동	69	20.31	1.05	5.8	1.58	6.5	남남서	206.00	8.1	남서	215	21.3	1011.9	
2024/07/04 02:00:00	73.9	동북동	63	20.43	1.04	5.4	1.75	6.0	남남서	208.00	8.4	남서	215	21.3	1011.6	
2024/07/04 02:30:00	71.6	동북동	66	20.72	0.97	5.6	1.68	6.5	남남서	208.00	8.3	남서	223	21.3	1011.5	
2024/07/04 03:00:00	71.5	동북동	59	20.94	0.96	5.6	1.62	4.0	남남서	213.00	7.6	남서	223	21.2	1011.4	
2024/07/04 03:30:00	57.4	동북동	57	20.96	1.02	6.0	1.56	6.5	남남서	213.00	8.3	남서	219	21.4	1011.3	
2024/07/04 04:00:00	47.7	북동	52	20.97	0.97	5.4	1.59	6.0	남남서	213.00	7.1	남서	222	21.4	1011.5	
2024/07/04 04:30:00	56.0	동북동	58	21.04	0.98	5.7	1.51	4.0	남남서	210.00	7.8	남서	214	21.4	1011.5	
2024/07/04 05:00:00	53.7	북동	50	21.08	0.95	5.0	1.57	7.0	남서	214.00	8.1	남서	221	21.4	1011.6	
2024/07/04 05:30:00	66.2	북동	52	21.13	0.88	5.1	1.52	5.5	남서	221.00	8.1	남서	224	21.5	1011.7	
2024/07/04 06:00:00	62.0	동북동	63	21.08	0.97	5.4	1.47	6.5	남서	220.00	7.6	남서	222	21.5	1011.6	
2024/07/04 06:30:00	67.5	동북동	62	21.08	0.85	5.4	1.28	6.5	남서	220.00	7.7	남서	219	21.5	1011.6	
2024/07/04 07:00:00	57.6	동북동	60	20.98	0.92	5.2	1.57	5.0	남서	221.00	7.8	남서	220	21.4	1011.7	
2024/07/04 07:30:00	57.3	동북동	68	21.06	0.94	5.3	1.51	6.0	남남서	213.00	7.4	남서	221	21.4	1011.8	
2024/07/04 08:00:00	64.9	동북동	67	21.11	0.90	5.4	1.52	6.5	남남서	197.00	7.2	남서	223	21.3	1011.9	
2024/07/04 08:30:00	56.1	동북동	66	21.13	0.92	5.7	1.44	7.0	남남서	202.00	7.2	남서	222	21.4	1012.0	
2024/07/04 09:00:00	33.0	북동	54	21.09	0.88	5.9	1.42	6.5	남남서	203.00	6.9	남서	228	21.4	1011.9	
2024/07/04 09:30:00	33.0	북동	44	21.25	0.97	6.2	1.60	5.0	남남서	210.00	6.0	남서	226	21.4	1011.7	
2024/07/04 10:00:00	62.8	동북동	59	21.30	0.85	5.7	1.52	7.0	남남서	208.00	6.8	남남서	213	21.4	1011.5	
2024/07/04 10:30:00	48.1	동북동	57	21.09	0.86	5.6	1.44	6.5	남남서	209.00	7.8	남남서	210	21.3	1011.2	
2024/07/04 11:00:00	44.9	동북동	60	21.20	0.81	5.3	1.38	6.0	남서	215.00	7.0	남남서	212	21.3	1011.1	
2024/07/04 11:30:00	70.8	북동	49	21.26	0.84	5.6	1.22	6.5	남남서	205.00	7.2	남남서	207	21.3	1010.8	
2024/07/04 12:00:00	54.6	북동	45	21.20	0.87	6.0	1.53	6.5	남남서	206.00	7.2	남남서	209	21.5	1010.6	
2024/07/04 12:30:00	51.8	북동	48	21.16	0.86	5.2	1.27	7.0	남서	217.00	7.7	남남서	208	21.6	1010.6	
2024/07/04 13:00:00	44.9	동북동	58	21.21	0.92	5.5	1.35	5.0	남남서	205.00	8.3	남남서	205	21.7	1010.4	
2024/07/04 13:30:00	41.6	동북동	60	21.07	0.84	4.9	1.29	6.0	남남서	203.00	8.3	남남서	203	21.7	1010.1	
2024/07/04 14:00:00	33.5	북동	51	21.07	0.84	5.1	1.26	6.5	남남서	206.00	8.4	남남서	199	21.9	1009.7	
2024/07/04 14:30:00	23.8	북동	46	21.12	0.90	4.9	1.40	6.0	남남서	211.00	7.7	남남서	199	22.0	1009.5	
2024/07/04 15:00:00	19.2	북동	35	21.10	0.88	4.6	1.34	8.0	남서	216.00	8.1	남남서	198	22.1	1009.3	
2024/07/04 15:30:00	14.9	북북동	31	21.15	0.88	4.4	1.51	4.0	남서	217.00	8.7	남남서	201	22.3	1009.0	
2024/07/04 16:00:00	14.8	북동	56	21.17	0.83	4.6	1.46	4.0	남서	214.00	8.1	남남서	200	22.3	1008.9	
2024/07/04 16:30:00	9.2	동북동	71	21.17	0.78	5.0	1.36	4.0	남남서	199.00	7.6	남남서	207	22.3	1009.1	
2024/07/04 17:00:00	9.8	북동	51	21.17	0.74	4.3	1.23	4.0	남남서	207.00	8.0	남남서	212	22.3	1008.8	
2024/07/04 17:30:00	11.6	동북동	78	21.16	0.81	4.4	1.43	4.0	서남서	239.00	8.3	남남서	208	22.2	1008.3	
2024/07/04 18:00:00	20.3	동북동	67	21.15	0.83	4.3	1.46	3.5	남남서	212.00	8.3	남남서	202	22.1	1008.3	
2024/07/04 18:30:00	29.4	북동	54	21.14	0.79	4.2	1.35	4.0	남남서	209.00	8.7	남남서	198	22.1	1008.3	
2024/07/04 19:00:00	35.4	동북동	60	21.15	0.75	4.2	1.33	4.5	남남서	209.00	8.9	남남서	197	22.3	1008.2	
2024/07/04 19:30:00	42.1	동북동	67	21.10	0.78	4.4	1.25	4.0	남서	218.00	8.6	남남서	198	22.3	1008.2	
2024/07/04 20:00:00	57.2	동북동	76	21.09	0.78	4.2	1.26	4.0	남남서	206.00	7.5	남남서	200	22.2	1008.3	
2024/07/04 20:30:00	57.9	동	81	21.06	0.68	4.3	1.25	3.5	남	173.00	6.5	남남서	203	22.2	1008.5	
2024/07/04 21:00:00	69.7	동	80	21.05	0.67	3.9	1.18	4.5	남남서	209.00	7.6	남남서	198	22.4	1008.4	
2024/07/04 21:30:00	78.5	동북동	76	21.25	0.73	4.3	1.13	3.5	남남서	206.00	8.0	남남서	195	22.4	1008.4	
2024/07/04 22:00:00	91.7	동북동	73	21.33	0.81	3.9	1.25	3.5	동북동	61.00	9.3	남남서	192	22.5	1008.5	
2024/07/04 22:30:00	93.9	동북동	75	21.25	1.03	4.0	1.85	4.5	남	179.00	9.6	남남서	195	22.6	1008.7	
2024/07/04 23:00:00	98.7	동북동	70	21.13	1.12	4.0	1.62	3.5	남	183.00	9.7	남남서	199	22.5	1009.0	
2024/07/04 23:30:00	102.8	동북동	78	21.12	1.08	3.9	1.57	4.5	남	185.00	10.0	남남서	205	22.6	1009.2	
2024/07/05 00:00:00	101.0	동북동	72	21.10	1.01	3.8	1.61	4.5	남	173.00	10.5	남남서	202	22.7	1009.1	
2024/07/05 00:30:00	96.5	동북동	72	21.09	1.02	3.9	1.75	3.5	남	177.00	8.9	남남서	196	22.5	1008.6	
2024/07/05 01:00:00	94.0	동북동	69	20.82	1.00	3.9	1.51	3.5	남	179.00	8.5	남남서	193	22.5	1008.0	
