지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22185,2023-01-21 22:00,6.9,175,8.9,1,.5,.4,3.1,182
22185,2023-01-21 23:00,6.1,174,7.9,1,.6,.4,3.4,180
22185,2023-01-22 00:00,6.4,161,8,1,.6,.5,3.6,172
22185,2023-01-22 01:00,5,162,6.5,.9,.7,.5,3.7,168
22185,2023-01-22 02:00,4,170,5.8,1.3,.7,.5,3.5,174
22185,2023-01-22 03:00,4,142,5.3,1.1,.7,.5,3.4,194
22185,2023-01-22 04:00,6.9,152,8.5,1,.7,.4,3.3,184
22185,2023-01-22 05:00,7.9,156,9.6,1.1,.6,.5,3.1,180
22185,2023-01-22 06:00,7.4,152,8.6,1,.7,.4,3,156
22185,2023-01-22 07:00,7.2,144,9.3,.9,.6,.5,2.9,168
22185,2023-01-22 08:00,7.6,152,9.4,1.3,.7,.5,3,156
22185,2023-01-22 09:00,4.8,139,6.7,1.2,.8,.5,3.1,137
22185,2023-01-22 10:00,5.6,151,7.1,1,.7,.5,3.2,132
22185,2023-01-22 11:00,2.7,169,4,.9,.6,.4,3.4,146
22185,2023-01-22 12:00,3.2,134,4.5,1,.6,.4,3.6,175
22185,2023-01-22 13:00,2.9,109,4.5,1.4,.7,.5,3.7,156
22185,2023-01-22 14:00,3.7,130,4.9,1.3,.7,.5,3.7,163
22185,2023-01-22 15:00,4.3,113,5.5,.9,.7,.5,3.5,167
